rank,city,department,region,population,overall_score,quality_of_life,safety,cost_of_living,transport,nature,culture,schools,remote_work,page
43,"Parthenay","Deux-Sèvres","Nouvelle-Aquitaine",10000,7.20,6.8,8.6,8.0,4.2,7.1,7.8,5.5,7.5,"https://bestcitiesinfrance.com/cities/parthenay"
44,"Laon","Aisne","Hauts-de-France",24000,7.20,6.2,6.5,8.3,6.4,6.4,8.7,6.6,7.5,"https://bestcitiesinfrance.com/cities/laon"
45,"Les Andelys","Eure","Normandie",8300,7.20,6.8,8.1,7.6,4.2,7.8,7.8,6.6,7.5,"https://bestcitiesinfrance.com/cities/les-andelys"
46,"Gaillac","Tarn","Occitanie",15800,7.20,7.8,8.1,7.6,4.2,7.1,6.9,6.6,7.5,"https://bestcitiesinfrance.com/cities/gaillac"
47,"Lyon","Métropole de Lyon","Auvergne-Rhône-Alpes",522250,7.10,6.8,5.1,4.2,9.0,5.0,9.0,8.9,9.0,"https://bestcitiesinfrance.com/cities/lyon"
48,"Albi","Tarn","Occitanie",49971,7.10,7.4,6.7,7.6,5.5,6.4,8.0,7.7,6.8,"https://bestcitiesinfrance.com/cities/albi"
49,"Villeurbanne","Métropole de Lyon","Auvergne-Rhône-Alpes",149000,7.10,6.8,5.7,5.4,9.0,4.3,8.4,7.7,8.8,"https://bestcitiesinfrance.com/cities/villeurbanne"
50,"Saumur","Maine-et-Loire","Pays de la Loire",26000,7.10,7.8,7.4,6.7,4.9,6.4,8.7,6.6,6.3,"https://bestcitiesinfrance.com/cities/saumur"
51,"La Baule-Escoublac","Loire-Atlantique","Pays de la Loire",17000,7.10,8.7,7.3,4.6,4.9,7.8,6.9,7.7,6.3,"https://bestcitiesinfrance.com/cities/la-baule"
52,"Vienne","Isère","Auvergne-Rhône-Alpes",30000,7.10,6.8,5.7,6.7,7.7,5.7,9.0,7.7,7.5,"https://bestcitiesinfrance.com/cities/vienne"
53,"Provins","Seine-et-Marne","Île-de-France",13000,7.10,6.8,7.5,6.7,5.6,5.7,8.7,7.7,7.5,"https://bestcitiesinfrance.com/cities/provins"
54,"Noirmoutier-en-l'Île","Vendée","Pays de la Loire",5000,7.10,9.0,8.8,5.0,3.4,8.5,6.0,6.6,6.3,"https://bestcitiesinfrance.com/cities/noirmoutier"
55,"Challans","Vendée","Pays de la Loire",21000,7.10,6.8,8.3,7.2,4.9,7.1,5.1,7.7,7.5,"https://bestcitiesinfrance.com/cities/challans"
56,"Saint-Flour","Cantal","Auvergne-Rhône-Alpes",6500,7.10,6.8,8.8,8.5,3.4,8.5,6.9,5.5,6.3,"https://bestcitiesinfrance.com/cities/saint-flour"
57,"La Flèche","Sarthe","Pays de la Loire",14500,7.10,6.4,8.1,7.6,4.2,7.1,6.0,8.7,7.5,"https://bestcitiesinfrance.com/cities/la-fleche"
58,"Moissac","Tarn-et-Garonne","Occitanie",12500,7.10,6.8,7.5,8.0,4.2,7.1,9.0,5.5,6.3,"https://bestcitiesinfrance.com/cities/moissac"
59,"La Roche-sur-Yon","Vendée","Pays de la Loire",57000,7.00,6.8,8.0,7.2,7.0,6.4,5.7,7.7,6.3,"https://bestcitiesinfrance.com/cities/la-roche-sur-yon"
60,"Hossegor","Landes","Nouvelle-Aquitaine",4000,7.00,9.0,8.1,5.0,3.4,8.5,6.9,6.6,7.5,"https://bestcitiesinfrance.com/cities/hossegor"
61,"Apt","Vaucluse","Provence-Alpes-Côte d'Azur",12000,7.00,7.8,6.9,6.7,4.2,8.5,6.9,6.6,7.5,"https://bestcitiesinfrance.com/cities/apt"
62,"Lourdes","Hautes-Pyrénées","Occitanie",14000,7.00,5.9,7.5,7.6,6.4,7.8,7.8,5.5,6.3,"https://bestcitiesinfrance.com/cities/lourdes"
63,"Limoux","Aude","Occitanie",10000,7.00,6.8,8.1,7.6,4.2,7.1,7.8,5.5,7.5,"https://bestcitiesinfrance.com/cities/limoux"
64,"Guéret","Creuse","Nouvelle-Aquitaine",13000,7.00,5.9,8.8,8.5,4.2,7.8,5.1,5.5,6.3,"https://bestcitiesinfrance.com/cities/gueret"
65,"Saint-Gaudens","Haute-Garonne","Occitanie",11000,7.00,6.8,7.7,7.6,4.9,7.8,6.0,6.6,7.5,"https://bestcitiesinfrance.com/cities/saint-gaudens"
66,"Brioude","Haute-Loire","Auvergne-Rhône-Alpes",6800,7.00,6.8,8.6,8.5,3.4,7.8,7.8,5.5,6.3,"https://bestcitiesinfrance.com/cities/brioude"
67,"Bagnères-de-Bigorre","Hautes-Pyrénées","Occitanie",8200,7.00,7.8,8.6,7.6,3.4,8.5,6.0,5.5,7.5,"https://bestcitiesinfrance.com/cities/bagneres-de-bigorre"
68,"Montmorillon","Vienne","Nouvelle-Aquitaine",6500,7.00,6.8,8.6,8.5,3.4,7.1,7.8,5.5,7.5,"https://bestcitiesinfrance.com/cities/montmorillon"
69,"La Souterraine","Creuse","Nouvelle-Aquitaine",5200,7.00,6.8,8.8,8.5,3.4,7.8,5.1,4.5,8.8,"https://bestcitiesinfrance.com/cities/la-souterraine"
70,"Nantes","Loire-Atlantique","Pays de la Loire",314138,6.90,7.0,4.6,5.3,8.1,6.1,7.8,7.9,9.0,"https://bestcitiesinfrance.com/cities/nantes"
71,"Bordeaux","Gironde","Nouvelle-Aquitaine",254436,6.90,7.2,5.1,4.5,7.8,5.9,8.4,7.4,8.8,"https://bestcitiesinfrance.com/cities/bordeaux"
72,"Vannes","Morbihan","Bretagne",60000,6.90,7.8,6.9,5.5,5.5,7.2,6.2,7.4,7.8,"https://bestcitiesinfrance.com/cities/vannes"
73,"Hendaye","Pyrénées-Atlantiques","Nouvelle-Aquitaine",17000,6.90,7.8,7.5,5.3,6.4,7.1,6.0,7.7,6.3,"https://bestcitiesinfrance.com/cities/hendaye"
74,"Collioure","Pyrénées-Orientales","Occitanie",3000,6.90,9.0,7.2,5.0,3.4,8.5,8.7,5.5,6.3,"https://bestcitiesinfrance.com/cities/collioure"
75,"Issoire","Puy-de-Dôme","Auvergne-Rhône-Alpes",14000,6.90,6.8,7.5,7.6,5.6,7.1,6.0,6.6,7.5,"https://bestcitiesinfrance.com/cities/issoire"
76,"Gien","Loiret","Centre-Val de Loire",14000,6.90,6.8,7.5,8.0,4.9,7.1,6.9,6.6,6.3,"https://bestcitiesinfrance.com/cities/gien"
77,"Saint-Lô","Manche","Normandie",19000,6.90,5.9,8.2,7.6,5.6,7.1,5.1,6.6,7.5,"https://bestcitiesinfrance.com/cities/saint-lo"
78,"Rumilly","Haute-Savoie","Auvergne-Rhône-Alpes",15500,6.90,6.8,8.7,5.5,4.9,6.4,4.2,8.7,7.5,"https://bestcitiesinfrance.com/cities/rumilly"
79,"Mayenne","Mayenne","Pays de la Loire",12500,6.90,6.2,8.8,8.0,4.2,7.1,6.0,6.6,6.3,"https://bestcitiesinfrance.com/cities/mayenne"
80,"Grenoble","Isère","Auvergne-Rhône-Alpes",158552,6.80,6.2,4.3,5.5,8.1,8.4,6.9,9.0,7.3,"https://bestcitiesinfrance.com/cities/grenoble"
81,"Compiègne","Oise","Hauts-de-France",42000,6.80,6.8,6.2,5.9,7.7,7.1,7.5,7.7,6.3,"https://bestcitiesinfrance.com/cities/compiegne"
82,"Brive-la-Gaillarde","Corrèze","Nouvelle-Aquitaine",47000,6.80,6.8,6.7,6.7,7.0,6.4,7.5,6.6,6.3,"https://bestcitiesinfrance.com/cities/brive-la-gaillarde"
83,"Dole","Jura","Bourgogne-Franche-Comté",23000,6.80,6.8,7.0,7.6,6.4,6.4,6.9,7.7,5.1,"https://bestcitiesinfrance.com/cities/dole"
84,"Saint-Jean-de-Luz","Pyrénées-Atlantiques","Nouvelle-Aquitaine",13000,6.80,8.7,7.5,4.5,4.9,7.1,6.9,6.6,6.3,"https://bestcitiesinfrance.com/cities/saint-jean-de-luz"
85,"Chaumont","Haute-Marne","Grand Est",22000,6.80,5.9,7.5,8.5,4.9,7.1,6.9,5.5,6.3,"https://bestcitiesinfrance.com/cities/chaumont"
86,"Aubusson","Creuse","Nouvelle-Aquitaine",3800,6.80,6.4,8.8,8.5,2.7,7.8,8.7,4.5,6.3,"https://bestcitiesinfrance.com/cities/aubusson"
87,"Florac-Trois-Rivières","Lozère","Occitanie",2200,6.80,7.4,8.8,8.5,2.2,9.0,7.8,3.4,7.5,"https://bestcitiesinfrance.com/cities/florac-trois-rivieres"
88,"Saint-Yrieix-la-Perche","Haute-Vienne","Nouvelle-Aquitaine",6800,6.80,6.4,8.6,8.5,3.4,7.8,6.9,5.5,6.3,"https://bestcitiesinfrance.com/cities/saint-yrieix-la-perche"
89,"Montbard","Côte-d'Or","Bourgogne-Franche-Comté",5000,6.80,5.9,8.6,8.5,4.2,7.1,6.9,5.5,5.1,"https://bestcitiesinfrance.com/cities/montbard"
90,"Château-Gontier-sur-Mayenne","Mayenne","Pays de la Loire",16100,6.80,6.8,8.7,8.0,4.2,7.1,5.1,5.5,6.3,"https://bestcitiesinfrance.com/cities/chateau-gontier-sur-mayenne"
91,"Embrun","Hautes-Alpes","Provence-Alpes-Côte d'Azur",7500,6.80,8.7,8.6,6.7,2.7,8.5,5.1,5.5,7.5,"https://bestcitiesinfrance.com/cities/embrun"
92,"Saint-Girons","Ariège","Occitanie",6700,6.80,7.8,8.8,8.0,2.7,8.5,5.1,5.5,7.5,"https://bestcitiesinfrance.com/cities/saint-girons"
93,"Angers","Maine-et-Loire","Pays de la Loire",155432,6.70,7.2,5.7,6.2,7.0,5.6,7.3,7.9,7.8,"https://bestcitiesinfrance.com/cities/angers"
94,"Royan","Charente-Maritime","Nouvelle-Aquitaine",17000,6.70,7.8,7.5,6.3,4.2,7.1,6.9,6.6,6.3,"https://bestcitiesinfrance.com/cities/royan"
95,"Sainte-Maxime","Var","Provence-Alpes-Côte d'Azur",14000,6.70,8.7,8.1,3.4,4.9,7.8,6.9,7.7,6.3,"https://bestcitiesinfrance.com/cities/sainte-maxime"
96,"Dieppe","Seine-Maritime","Normandie",30000,6.70,6.2,6.2,6.7,7.0,7.1,7.5,6.6,7.5,"https://bestcitiesinfrance.com/cities/dieppe"
97,"Vesoul","Haute-Saône","Bourgogne-Franche-Comté",15000,6.70,5.9,7.5,8.5,4.9,7.1,6.0,5.5,6.3,"https://bestcitiesinfrance.com/cities/vesoul"
98,"Bar-sur-Aube","Aube","Grand Est",5500,6.70,6.4,8.6,8.5,3.4,7.1,6.9,5.5,6.3,"https://bestcitiesinfrance.com/cities/bar-sur-aube"
99,"Montbrison","Loire","Auvergne-Rhône-Alpes",15400,6.70,6.8,7.5,8.1,4.9,6.4,5.1,6.6,6.3,"https://bestcitiesinfrance.com/cities/montbrison"
100,"Sablé-sur-Sarthe","Sarthe","Pays de la Loire",12400,6.70,6.8,8.1,8.0,4.2,7.1,6.0,5.5,6.3,"https://bestcitiesinfrance.com/cities/sable-sur-sarthe"
101,"Monistrol-sur-Loire","Haute-Loire","Auvergne-Rhône-Alpes",9400,6.70,6.8,8.1,7.6,5.6,7.1,4.2,6.6,6.3,"https://bestcitiesinfrance.com/cities/monistrol-sur-loire"
102,"Toulouse","Haute-Garonne","Occitanie",479553,6.60,6.6,4.3,5.3,7.5,5.0,8.0,9.0,8.3,"https://bestcitiesinfrance.com/cities/toulouse"
103,"Cholet","Maine-et-Loire","Pays de la Loire",55000,6.60,6.8,7.1,6.7,6.2,5.7,5.7,7.7,6.3,"https://bestcitiesinfrance.com/cities/cholet"
104,"Issy-les-Moulineaux","Hauts-de-Seine","Île-de-France",68000,6.60,8.7,7.2,2.2,9.0,4.3,7.5,9.0,9.0,"https://bestcitiesinfrance.com/cities/issy-les-moulineaux"
105,"Cassis","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur",7000,6.60,9.0,6.1,4.3,4.2,8.5,6.9,5.5,6.3,"https://bestcitiesinfrance.com/cities/cassis"
106,"Montargis","Loiret","Centre-Val de Loire",14000,6.60,5.9,6.5,8.0,6.4,6.4,6.0,6.6,7.5,"https://bestcitiesinfrance.com/cities/montargis"
107,"Guingamp","Côtes-d'Armor","Bretagne",7800,6.60,6.2,8.7,7.6,4.2,6.4,6.0,6.6,6.3,"https://bestcitiesinfrance.com/cities/guingamp"
108,"Sens","Yonne","Bourgogne-Franche-Comté",25500,6.60,5.9,6.5,7.6,6.4,5.7,6.9,6.6,7.5,"https://bestcitiesinfrance.com/cities/sens"
109,"Pont-à-Mousson","Meurthe-et-Moselle","Grand Est",14000,6.60,6.2,7.5,7.6,5.6,5.7,6.9,6.6,6.3,"https://bestcitiesinfrance.com/cities/pont-a-mousson"
110,"Soissons","Aisne","Hauts-de-France",28000,6.60,5.9,6.5,8.3,5.6,5.7,6.9,6.6,7.5,"https://bestcitiesinfrance.com/cities/soissons"
111,"Gourdon","Lot","Occitanie",4800,6.60,6.8,8.6,8.5,2.7,7.8,6.9,4.5,7.5,"https://bestcitiesinfrance.com/cities/gourdon"
112,"Sarrebourg","Moselle","Grand Est",13500,6.60,6.2,7.5,7.6,4.2,7.1,6.9,6.6,6.3,"https://bestcitiesinfrance.com/cities/sarrebourg"
113,"Rambouillet","Yvelines","Île-de-France",26600,6.60,6.8,7.0,3.8,7.1,7.1,6.9,7.7,8.8,"https://bestcitiesinfrance.com/cities/rambouillet"
114,"Aix-en-Provence","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur",143097,6.50,7.8,5.9,3.6,6.1,6.4,8.4,8.3,7.3,"https://bestcitiesinfrance.com/cities/aix-en-provence"
115,"Besançon","Doubs","Bourgogne-Franche-Comté",116952,6.50,6.6,5.7,6.4,7.0,6.4,6.9,7.4,6.8,"https://bestcitiesinfrance.com/cities/besancon"
116,"Saint-Malo","Ille-et-Vilaine","Bretagne",45165,6.50,7.4,6.5,5.0,5.2,7.2,7.3,6.2,7.3,"https://bestcitiesinfrance.com/cities/saint-malo"
117,"Chambéry","Savoie","Auvergne-Rhône-Alpes",68000,6.50,7.0,6.3,5.0,6.1,8.1,6.2,7.4,6.3,"https://bestcitiesinfrance.com/cities/chambery"
118,"Vichy","Allier","Auvergne-Rhône-Alpes",24400,6.50,6.8,7.0,8.2,4.2,6.4,6.9,6.6,5.1,"https://bestcitiesinfrance.com/cities/vichy"
119,"Auch","Gers","Occitanie",22000,6.50,6.8,7.5,8.0,4.2,6.4,6.9,6.6,5.1,"https://bestcitiesinfrance.com/cities/auch"
120,"Versailles","Yvelines","Île-de-France",85000,6.50,7.8,6.3,2.4,8.4,5.0,9.0,9.0,8.8,"https://bestcitiesinfrance.com/cities/versailles"
121,"Menton","Alpes-Maritimes","Provence-Alpes-Côte d'Azur",29000,6.50,8.7,7.1,3.2,5.6,7.8,6.9,7.7,7.5,"https://bestcitiesinfrance.com/cities/menton"
122,"Épernay","Marne","Grand Est",23000,6.50,6.8,6.5,6.7,5.6,5.7,7.8,6.6,6.3,"https://bestcitiesinfrance.com/cities/epernay"
123,"La Ciotat","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur",37000,6.50,7.8,4.8,5.2,6.2,7.1,7.5,6.6,7.5,"https://bestcitiesinfrance.com/cities/la-ciotat"
124,"Orange","Vaucluse","Provence-Alpes-Côte d'Azur",30000,6.50,6.8,5.1,6.3,6.2,6.4,9.0,6.6,6.3,"https://bestcitiesinfrance.com/cities/orange"
125,"Pézenas","Hérault","Occitanie",8500,6.50,7.8,6.0,6.4,4.2,5.7,8.7,6.6,6.3,"https://bestcitiesinfrance.com/cities/pezenas"
126,"Gordes","Vaucluse","Provence-Alpes-Côte d'Azur",2200,6.50,9.0,8.0,4.1,2.2,8.5,9.0,5.5,6.3,"https://bestcitiesinfrance.com/cities/gordes"
127,"Saint-Paul-de-Vence","Alpes-Maritimes","Provence-Alpes-Côte d'Azur",3600,6.50,9.0,7.7,2.3,4.9,7.1,9.0,7.7,7.5,"https://bestcitiesinfrance.com/cities/saint-paul-de-vence"
128,"Moulins","Allier","Auvergne-Rhône-Alpes",19000,6.50,5.9,7.0,8.5,4.9,5.7,6.9,5.5,6.3,"https://bestcitiesinfrance.com/cities/moulins"
129,"Marmande","Lot-et-Garonne","Nouvelle-Aquitaine",18000,6.50,6.2,7.0,7.6,5.6,6.4,5.1,6.6,7.5,"https://bestcitiesinfrance.com/cities/marmande"
130,"Riom","Puy-de-Dôme","Auvergne-Rhône-Alpes",18500,6.50,6.4,7.0,7.6,4.9,5.7,6.0,6.6,7.5,"https://bestcitiesinfrance.com/cities/riom"
131,"Lons-le-Saunier","Jura","Bourgogne-Franche-Comté",17000,6.50,6.2,7.5,7.6,4.2,7.1,6.0,6.6,6.3,"https://bestcitiesinfrance.com/cities/lons-le-saunier"
132,"Flers","Orne","Normandie",14500,6.50,5.9,8.2,8.0,4.2,6.4,5.1,6.6,6.3,"https://bestcitiesinfrance.com/cities/flers"
133,"Cosne-Cours-sur-Loire","Nièvre","Bourgogne-Franche-Comté",10000,6.50,6.4,8.1,8.5,3.4,7.8,5.1,5.5,6.3,"https://bestcitiesinfrance.com/cities/cosne-cours-sur-loire"
134,"Condom","Gers","Occitanie",6800,6.50,6.8,8.6,8.0,2.7,7.1,7.8,5.5,6.3,"https://bestcitiesinfrance.com/cities/condom"
135,"Issoudun","Indre","Centre-Val de Loire",12000,6.50,5.9,7.5,8.5,4.2,6.4,6.0,6.6,6.3,"https://bestcitiesinfrance.com/cities/issoudun"
136,"Étampes","Essonne","Île-de-France",24000,6.50,5.9,6.1,6.7,6.4,5.7,6.9,7.7,7.5,"https://bestcitiesinfrance.com/cities/etampes"
137,"Villeneuve-sur-Lot","Lot-et-Garonne","Nouvelle-Aquitaine",23500,6.50,6.4,7.0,7.6,4.2,7.1,6.9,6.6,6.3,"https://bestcitiesinfrance.com/cities/villeneuve-sur-lot"
138,"Ussel","Corrèze","Nouvelle-Aquitaine",10200,6.50,6.8,8.6,8.5,2.7,8.5,3.3,4.5,8.8,"https://bestcitiesinfrance.com/cities/ussel"
139,"Châteaudun","Eure-et-Loir","Centre-Val de Loire",13900,6.50,6.8,7.5,8.0,4.2,6.4,6.0,5.5,6.3,"https://bestcitiesinfrance.com/cities/chateaudun"
140,"Le Blanc","Indre","Centre-Val de Loire",6900,6.50,6.8,8.6,8.5,3.4,7.8,4.2,4.5,6.3,"https://bestcitiesinfrance.com/cities/le-blanc"
141,"Brest","Finistère","Bretagne",139386,6.40,6.2,5.7,6.4,6.4,6.4,6.6,7.4,7.3,"https://bestcitiesinfrance.com/cities/brest"
142,"Dijon","Côte-d'Or","Bourgogne-Franche-Comté",162303,6.40,6.8,5.7,6.2,7.0,5.0,7.3,7.4,6.8,"https://bestcitiesinfrance.com/cities/dijon"
143,"Tours","Indre-et-Loire","Centre-Val de Loire",138617,6.40,6.6,5.5,5.9,7.0,5.0,7.3,7.9,7.3,"https://bestcitiesinfrance.com/cities/tours"
144,"Caen","Calvados","Normandie",109038,6.40,6.6,5.9,6.2,7.0,5.6,6.6,7.4,6.3,"https://bestcitiesinfrance.com/cities/caen"
145,"Pau","Pyrénées-Atlantiques","Nouvelle-Aquitaine",77000,6.40,6.6,5.7,6.2,6.1,7.0,6.6,7.4,6.3,"https://bestcitiesinfrance.com/cities/pau"
146,"Colmar","Haut-Rhin","Grand Est",67615,6.40,6.8,6.1,6.2,6.1,5.9,7.6,6.6,6.3,"https://bestcitiesinfrance.com/cities/colmar"
147,"Annemasse","Haute-Savoie","Auvergne-Rhône-Alpes",37000,6.40,6.8,6.8,3.4,9.0,6.4,6.6,7.7,7.5,"https://bestcitiesinfrance.com/cities/annemasse"
148,"Langres","Haute-Marne","Grand Est",7500,6.40,6.4,8.6,8.5,2.7,7.1,7.8,5.5,5.1,"https://bestcitiesinfrance.com/cities/langres"
